canonical_smiles,pIC50
O=C(NCCc1ccccc1)c1ccc2c(c1)nc(O)c1cc(F)ccc12,6.823908740944319
Nc1ccc2[nH]c(=O)c3ccccc3c2c1,6.7447274948966935
O=C(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,7.376750709602099
Oc1nc2c(c3ccc(F)cc13)CNCC2,7.698970004336019
Oc1nc2c(c3ccccc13)CNCC2,7.455931955649724
Oc1nc2c(c3ccccc13)CCNC2,7.522878745280337
O=C(CN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,6.790484985457369
O=S(=O)(CCN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3ccccc3c2C1,6.447331783887806
O=C(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,6.619788758288394
O=S(=O)(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,6.6777807052660805
O=C(CCCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,6.34008379993015
O=C(CN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3ccccc3c2C1,6.732828271596986
O=C(CN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,7.229147988357855
N[C@@H](CCC(=O)N1CCc2nc(O)c3ccccc3c2C1)C(=O)O,7.050609993355087
O=C(CCN1CCCCC1)N1CCc2[nH]c(=O)c3cc(F)ccc3c2C1,7.602059991327962
Oc1nc2c(c3ccccc13)CCCC2,6.777283528852417
O=S(=O)(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,6.424812155072339
O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3ccccc3c2C1,7.00436480540245
O=C(CN1CCN(C2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,6.935542010773082
O=S(=O)(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,6.45717457304082
O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,6.614393726401688
O=C([C@@H]1CCCN1)N1CCc2c(nc(O)c3ccccc23)C1,7.508638306165727
O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3cc(F)ccc3c2C1,7.494850021680094
O=c1[nH]c(CCCN2CC=C(c3ccccc3)CC2)nc2ccccc12,7.795880017344075
Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2cccc(F)c12,7.795880017344075
Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2ccc(Cl)cc12,7.568636235841013
Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2cc(Cl)ccc12,6.6020599913279625
O=c1[nH]c(CCCN2CC=C(c3ccccc3)CC2)nc2c(Cl)cccc12,7.585026652029182
Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2c(Cl)cc(Cl)cc12,7.4089353929735005
Cc1cccc2c(O)nc(CCCN3CC=C(c4ccccc4)CC3)nc12,7.853871964321762
CCc1cccc2c(O)nc(CCCN3CC=C(c4ccccc4)CC3)nc12,7.180456064458132
COc1cccc2c(O)nc(CCCN3CC=C(c4ccccc4)CC3)nc12,7.585026652029182
O=c1[nH]c(CCCN2CCC(c3ccccc3)CC2)nc2ccccc12,7.337242168318426
Oc1nc(CCCN2CCN(c3ccccc3)CC2)nc2ccccc12,7.1487416512809245
Oc1nc(CCCC2CC=C(c3ccccc3)CC2)nc2ccccc12,6.0
Oc1nc(CCCN2CCC3=C(CCc4ccccc43)C2)nc2ccccc12,7.920818753952375
Oc1nc(CCCN2CCc3c([nH]c4ccccc34)C2)nc2ccccc12,7.130768280269024
O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2ccccc12,8.050609993355087
Oc1nc(CCCN2CC=C(c3cccc(F)c3)CC2)nc2ccccc12,7.638272163982407
Oc1nc(CCCN2CC=C(c3ccccc3F)CC2)nc2ccccc12,7.431798275933005
O=c1[nH]c(CCCN2CC=C(c3ccc(Cl)cc3)CC2)nc2ccccc12,7.638272163982407
Cc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,7.769551078621726
Oc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,7.920818753952375
COc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,8.080921907623926
COc1cccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)c1,6.0
COc1ccccc1C1=CCN(CCCc2nc(O)c3ccccc3n2)CC1,6.769551078621726
Oc1nc(CCCN2CC=C(c3ccc(C(F)(F)F)cc3)CC2)nc2ccccc12,7.602059991327962
N#Cc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,8.221848749616356
Oc1nc(CCCN2CC=C(c3ccc(-c4ccccc4)cc3)CC2)nc2ccccc12,7.468521082957745
Oc1nc(CCCN2CC=C(c3ccc(-[n+]4ccccc4)cc3)CC2)nc2ccccc12,7.920818753952375
O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,7.886056647693163
O=c1[nH]c(=O)n(CCCCN2CC=C(c3ccccc3)CC2)c2cccc(F)c12,7.221848749616356
O=c1[nH]c(CCCN2CC=C(c3ccccc3)CC2)nc2cccc(Cl)c12,7.187086643357144
O=[N+]([O-])c1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,6.301029995663981
O=[N+]([O-])c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.522878745280337
Oc1nc2c(c3ccccc13)Cc1ccc(F)cc1-2,6.301029995663981
Oc1nc2c(c3ccccc13)Cc1cc(F)ccc1-2,6.187086643357144
Nc1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,6.522878745280337
Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,7.008773924307505
CN(C)CC(=O)Nc1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,6.096910013008056
CN(C)CC(=O)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.97061622231479
O=C(CN1CCN(c2ccc(F)cc2)CC1)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,7.096910013008056
O=C(CCCN1CCOCC1)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.978810700930062
O=C(CO)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.958607314841775
CCCNC(=O)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,7.0
O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,9.0
O=S(=O)(NCCCn1ccnc1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.404503778174426
O=S(=O)(NCCCN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,8.0
O=S(=O)(NCCCNN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,6.346787486224656
O=S(=O)(c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2)n1ccnc1,6.301029995663981
O=S(=O)([O-])c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.154901959985743
O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,6.096910013008056
O=c1[nH]nc(Cc2ccccc2)c2ccccc12,6.113509274827518
CC(=O)Oc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.443697499232712
CC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.045757490560675
CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.698970004336019
CCCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.045757490560675
CC(C)C(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,6.431798275933005
O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)C1CC1,7.259637310505756
COc1ccc(-n2cc(C(=O)Nc3cccc(Cc4nnc(O)c5ccccc45)c3)c(C)n2)cc1,8.0
O=C(Nc1cccc(Cc2nnc(O)c3ccccc23)c1)c1ccc(-n2cccn2)nc1,7.327902142064283
Cc1nc(-c2ccccc2)sc1C(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,7.568636235841013
O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)c1ccc(-c2ccsc2)s1,7.251811972993799
O=C(Nc1cccc(Cc2nnc(O)c3ccccc23)c1)C(F)(F)F,7.886056647693163
CCOC(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,6.935542010773082
CCCNC(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,6.267606240177032
CCS(=O)(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,6.537602002101044
Cc1noc(-c2cccc(Cc3nnc(O)c4ccccc34)c2)n1,6.723538195826756
CCNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.301029995663981
O=C1CCCN1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,6.920818753952375
O=C1CCC(=O)N1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.920818753952375
O=C1C=CC(=O)N1c1cccc(Cc2nnc(O)c3ccccc23)c1,7.886056647693163
O=C1c2ccccc2C(=O)N1c1cccc(Cc2nnc(O)c3ccccc23)c1,6.7447274948966935
O=C1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1Cl,7.721246399047171
COc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1N1C(=O)CCC1=O,7.481486060122112
O=C1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,8.301029995663981
CC1CC(=O)N(c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C1=O,8.42021640338319
CC1(C)CC(=O)N(c2cc(Cc3nnc(O)c4ccccc34)ccc2F)C1=O,8.008773924307505
O=C1CC(c2ccccc2)C(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,8.167491087293763
